scenario,strategy,group,N_fake,N_real,AUC,Acc,Prec,Recall,F1,N
F→P (by TTS),X3D,Bark,90,521,44.2,85.11,0.0,0.0,0.0,611
F→P (by TTS),AASIST,Bark,90,521,66.43,85.27,0.0,0.0,0.0,611
F→P (by TTS),HSEmo,Bark,90,521,46.24,67.76,15.03,25.56,18.93,611
F→P (by TTS),CRNN,Bark,90,521,63.0,80.2,27.54,21.11,23.9,611
F→P (by TTS),Score_art,Bark,90,521,44.86,85.27,50.0,1.11,2.17,611
F→P (by TTS),Score_emo,Bark,90,521,51.46,43.37,14.64,58.89,23.45,611
F→P (by TTS),Score_final,Bark,90,521,49.49,31.42,13.85,70.0,23.12,611
F→P (by TTS),X3D,MicroTts,100,521,49.03,84.06,66.67,2.0,3.88,621
F→P (by TTS),AASIST,MicroTts,100,521,94.07,84.54,100.0,4.0,7.69,621
F→P (by TTS),HSEmo,MicroTts,100,521,49.03,65.38,10.34,15.0,12.24,621
F→P (by TTS),CRNN,MicroTts,100,521,78.6,84.54,51.92,54.0,52.94,621
F→P (by TTS),Score_art,MicroTts,100,521,59.1,85.02,88.89,8.0,14.68,621
F→P (by TTS),Score_emo,MicroTts,100,521,70.27,47.83,21.57,85.0,34.41,621
F→P (by TTS),Score_final,MicroTts,100,521,72.2,35.75,19.18,93.0,31.79,621
F→P (by TTS),X3D,Tacotron,98,521,48.34,84.65,80.0,4.08,7.77,619
F→P (by TTS),AASIST,Tacotron,98,521,87.38,84.81,100.0,4.08,7.84,619
F→P (by TTS),HSEmo,Tacotron,98,521,57.73,69.14,22.16,37.76,27.92,619
F→P (by TTS),CRNN,Tacotron,98,521,58.25,79.48,29.58,21.43,24.85,619
F→P (by TTS),Score_art,Tacotron,98,521,55.93,85.3,88.89,8.16,14.95,619
F→P (by TTS),Score_emo,Tacotron,98,521,60.69,45.23,18.04,69.39,28.63,619
F→P (by TTS),Score_final,Tacotron,98,521,61.53,33.93,17.12,82.65,28.37,619
F→P (by TTS),X3D,Vall,88,521,41.54,85.39,0.0,0.0,0.0,609
F→P (by TTS),AASIST,Vall,88,521,24.43,85.55,0.0,0.0,0.0,609
F→P (by TTS),HSEmo,Vall,88,521,47.58,67.82,14.47,25.0,18.33,609
F→P (by TTS),CRNN,Vall,88,521,64.73,79.64,21.88,15.91,18.42,609
F→P (by TTS),Score_art,Vall,88,521,41.14,85.39,0.0,0.0,0.0,609
F→P (by TTS),Score_emo,Vall,88,521,52.92,44.17,15.57,64.77,25.11,609
F→P (by TTS),Score_final,Vall,88,521,49.77,31.69,14.04,72.73,23.53,609
F→P (by TTS),X3D,Xtts,103,521,46.18,83.33,0.0,0.0,0.0,624
F→P (by TTS),AASIST,Xtts,103,521,56.66,83.97,100.0,2.91,5.66,624
F→P (by TTS),HSEmo,Xtts,103,521,58.06,68.43,21.69,34.95,26.77,624
F→P (by TTS),CRNN,Xtts,103,521,66.97,80.77,39.76,32.04,35.48,624
F→P (by TTS),Score_art,Xtts,103,521,50.39,83.81,75.0,2.91,5.61,624
F→P (by TTS),Score_emo,Xtts,103,521,67.22,47.12,20.97,79.61,33.2,624
F→P (by TTS),Score_final,Xtts,103,521,67.62,35.9,19.51,92.23,32.2,624
F→P (by Sync),X3D,Wav2Lip,248,521,46.85,68.4,85.71,2.42,4.71,769
F→P (by Sync),AASIST,Wav2Lip,248,521,66.5,68.27,100.0,1.61,3.17,769
F→P (by Sync),HSEmo,Wav2Lip,248,521,50.0,59.56,34.01,27.02,30.11,769
F→P (by Sync),CRNN,Wav2Lip,248,521,66.09,71.65,61.54,32.26,42.33,769
F→P (by Sync),Score_art,Wav2Lip,248,521,52.0,69.18,92.31,4.84,9.2,769
F→P (by Sync),Score_emo,Wav2Lip,248,521,61.41,50.59,36.42,71.37,48.23,769
F→P (by Sync),Score_final,Wav2Lip,248,521,62.01,43.56,34.45,83.06,48.7,769
F→P (by Sync),X3D,video_retalking,231,521,45.07,69.15,0.0,0.0,0.0,752
F→P (by Sync),AASIST,video_retalking,231,521,66.85,70.21,100.0,3.03,5.88,752
F→P (by Sync),HSEmo,video_retalking,231,521,54.07,60.77,33.67,28.57,30.91,752
F→P (by Sync),CRNN,video_retalking,231,521,66.85,70.74,54.95,26.41,35.67,752
F→P (by Sync),Score_art,video_retalking,231,521,49.11,70.21,88.89,3.46,6.67,752
